term_index,term_name,first_feature_bin_index,second_feature_bin_index,score
1,"(09:00-09:29, 09:30-09:59)",0,0,-0.1488157549806338
1,"(09:00-09:29, 09:30-09:59)",0,1,-0.16037302242537427
1,"(09:00-09:29, 09:30-09:59)",0,2,-0.2077807601323399
1,"(09:00-09:29, 09:30-09:59)",0,3,-0.24896435536480377
1,"(09:00-09:29, 09:30-09:59)",0,4,-0.2944785197708934
1,"(09:00-09:29, 09:30-09:59)",0,5,-0.2783455703752692
1,"(09:00-09:29, 09:30-09:59)",0,6,-0.24105434989233915
1,"(09:00-09:29, 09:30-09:59)",0,7,-0.24393450147366938
1,"(09:00-09:29, 09:30-09:59)",0,8,-0.3117482203569447
1,"(09:00-09:29, 09:30-09:59)",0,9,-0.42762739642043124
1,"(09:00-09:29, 09:30-09:59)",0,10,-0.5111415056744066
1,"(09:00-09:29, 09:30-09:59)",0,11,-0.5353144974594523
1,"(09:00-09:29, 09:30-09:59)",0,12,-0.6275801282563152
1,"(09:00-09:29, 09:30-09:59)",0,13,-0.6691184685622129
1,"(09:00-09:29, 09:30-09:59)",1,0,-0.1923910331466986
1,"(09:00-09:29, 09:30-09:59)",1,1,-0.20285414651047443
1,"(09:00-09:29, 09:30-09:59)",1,2,-0.22600015256357875
1,"(09:00-09:29, 09:30-09:59)",1,3,-0.26261669914118874
1,"(09:00-09:29, 09:30-09:59)",1,4,-0.30056414773309265
1,"(09:00-09:29, 09:30-09:59)",1,5,-0.28391097870704274
1,"(09:00-09:29, 09:30-09:59)",1,6,-0.24877706624933374
1,"(09:00-09:29, 09:30-09:59)",1,7,-0.24184586144739878
1,"(09:00-09:29, 09:30-09:59)",1,8,-0.3049295871999279
1,"(09:00-09:29, 09:30-09:59)",1,9,-0.3912580489524758
1,"(09:00-09:29, 09:30-09:59)",1,10,-0.46572605622757185
1,"(09:00-09:29, 09:30-09:59)",1,11,-0.4764403884040142
1,"(09:00-09:29, 09:30-09:59)",1,12,-0.5381865375944405
1,"(09:00-09:29, 09:30-09:59)",1,13,-0.5639705601382746
1,"(09:00-09:29, 09:30-09:59)",2,0,-0.19136292047726883
1,"(09:00-09:29, 09:30-09:59)",2,1,-0.19170292202896125
1,"(09:00-09:29, 09:30-09:59)",2,2,-0.20653850903448628
1,"(09:00-09:29, 09:30-09:59)",2,3,-0.24039121810736658
1,"(09:00-09:29, 09:30-09:59)",2,4,-0.2718711779667575
1,"(09:00-09:29, 09:30-09:59)",2,5,-0.2552505088548862
1,"(09:00-09:29, 09:30-09:59)",2,6,-0.22857536220960864
1,"(09:00-09:29, 09:30-09:59)",2,7,-0.21944137684466505
1,"(09:00-09:29, 09:30-09:59)",2,8,-0.26488599764872167
1,"(09:00-09:29, 09:30-09:59)",2,9,-0.33579827592758466
1,"(09:00-09:29, 09:30-09:59)",2,10,-0.40852961081232586
1,"(09:00-09:29, 09:30-09:59)",2,11,-0.42679153044467155
1,"(09:00-09:29, 09:30-09:59)",2,12,-0.4827972659853106
1,"(09:00-09:29, 09:30-09:59)",2,13,-0.4873776406876628
1,"(09:00-09:29, 09:30-09:59)",3,0,-0.15750613739922803
1,"(09:00-09:29, 09:30-09:59)",3,1,-0.15756863143213648
1,"(09:00-09:29, 09:30-09:59)",3,2,-0.16647404326027565
1,"(09:00-09:29, 09:30-09:59)",3,3,-0.19934409344108356
1,"(09:00-09:29, 09:30-09:59)",3,4,-0.2290522926438057
1,"(09:00-09:29, 09:30-09:59)",3,5,-0.2083364417921275
1,"(09:00-09:29, 09:30-09:59)",3,6,-0.1827988929041293
1,"(09:00-09:29, 09:30-09:59)",3,7,-0.1696826161990882
1,"(09:00-09:29, 09:30-09:59)",3,8,-0.19970033178954877
1,"(09:00-09:29, 09:30-09:59)",3,9,-0.2592944935588958
1,"(09:00-09:29, 09:30-09:59)",3,10,-0.3302712011407383
1,"(09:00-09:29, 09:30-09:59)",3,11,-0.34606030084369865
1,"(09:00-09:29, 09:30-09:59)",3,12,-0.39647517999164955
1,"(09:00-09:29, 09:30-09:59)",3,13,-0.39406455869713414
1,"(09:00-09:29, 09:30-09:59)",4,0,-0.1817720234663247
1,"(09:00-09:29, 09:30-09:59)",4,1,-0.17705529741239961
1,"(09:00-09:29, 09:30-09:59)",4,2,-0.17095640949621438
1,"(09:00-09:29, 09:30-09:59)",4,3,-0.19132130381214218
1,"(09:00-09:29, 09:30-09:59)",4,4,-0.2010886844380786
1,"(09:00-09:29, 09:30-09:59)",4,5,-0.17208487946804416
1,"(09:00-09:29, 09:30-09:59)",4,6,-0.13775112840935685
1,"(09:00-09:29, 09:30-09:59)",4,7,-0.12231957224002321
1,"(09:00-09:29, 09:30-09:59)",4,8,-0.13764710215810463
1,"(09:00-09:29, 09:30-09:59)",4,9,-0.18090110824381195
1,"(09:00-09:29, 09:30-09:59)",4,10,-0.22257755064139922
1,"(09:00-09:29, 09:30-09:59)",4,11,-0.2178058681036832
1,"(09:00-09:29, 09:30-09:59)",4,12,-0.24205344974668058
1,"(09:00-09:29, 09:30-09:59)",4,13,-0.22179601378349242
1,"(09:00-09:29, 09:30-09:59)",5,0,-0.2155107674244498
1,"(09:00-09:29, 09:30-09:59)",5,1,-0.20239333713821245
1,"(09:00-09:29, 09:30-09:59)",5,2,-0.18043386304840756
1,"(09:00-09:29, 09:30-09:59)",5,3,-0.18818180941035484
1,"(09:00-09:29, 09:30-09:59)",5,4,-0.1896816376781419
1,"(09:00-09:29, 09:30-09:59)",5,5,-0.1550524180506007
1,"(09:00-09:29, 09:30-09:59)",5,6,-0.11012465095701311
1,"(09:00-09:29, 09:30-09:59)",5,7,-0.09190161293201775
1,"(09:00-09:29, 09:30-09:59)",5,8,-0.09386480113423439
1,"(09:00-09:29, 09:30-09:59)",5,9,-0.11520773217853758
1,"(09:00-09:29, 09:30-09:59)",5,10,-0.12717601667220488
1,"(09:00-09:29, 09:30-09:59)",5,11,-0.1224043341344889
1,"(09:00-09:29, 09:30-09:59)",5,12,-0.13362898821922875
1,"(09:00-09:29, 09:30-09:59)",5,13,-0.10928771929774199
1,"(09:00-09:29, 09:30-09:59)",6,0,-0.23685340472110633
1,"(09:00-09:29, 09:30-09:59)",6,1,-0.22754807110007458
1,"(09:00-09:29, 09:30-09:59)",6,2,-0.199239704568782
1,"(09:00-09:29, 09:30-09:59)",6,3,-0.19931165470357626
1,"(09:00-09:29, 09:30-09:59)",6,4,-0.19357550906472965
1,"(09:00-09:29, 09:30-09:59)",6,5,-0.1510676302340536
1,"(09:00-09:29, 09:30-09:59)",6,6,-0.08157850739401333
1,"(09:00-09:29, 09:30-09:59)",6,7,-0.055340347885308
1,"(09:00-09:29, 09:30-09:59)",6,8,-0.04764169986328877
1,"(09:00-09:29, 09:30-09:59)",6,9,-0.06314826279314051
1,"(09:00-09:29, 09:30-09:59)",6,10,-0.056403012001518406
1,"(09:00-09:29, 09:30-09:59)",6,11,-0.02939745448518416
1,"(09:00-09:29, 09:30-09:59)",6,12,-0.011222715884850508
1,"(09:00-09:29, 09:30-09:59)",6,13,0.036633234456605226
1,"(09:00-09:29, 09:30-09:59)",7,0,-0.2614010184043712
1,"(09:00-09:29, 09:30-09:59)",7,1,-0.24038149190839356
1,"(09:00-09:29, 09:30-09:59)",7,2,-0.21441948022096483
1,"(09:00-09:29, 09:30-09:59)",7,3,-0.1984472911570918
1,"(09:00-09:29, 09:30-09:59)",7,4,-0.17546754244201307
1,"(09:00-09:29, 09:30-09:59)",7,5,-0.11195282795754147
1,"(09:00-09:29, 09:30-09:59)",7,6,-0.02795985097731119
1,"(09:00-09:29, 09:30-09:59)",7,7,0.0043112890545836235
1,"(09:00-09:29, 09:30-09:59)",7,8,0.017650118686284744
1,"(09:00-09:29, 09:30-09:59)",7,9,0.018170759530118735
1,"(09:00-09:29, 09:30-09:59)",7,10,0.047286000547314244
1,"(09:00-09:29, 09:30-09:59)",7,11,0.08029216286468054
1,"(09:00-09:29, 09:30-09:59)",7,12,0.11527078714405539
1,"(09:00-09:29, 09:30-09:59)",7,13,0.1726185706405709
1,"(09:00-09:29, 09:30-09:59)",8,0,-0.3102010556008814
1,"(09:00-09:29, 09:30-09:59)",8,1,-0.27381824478428185
1,"(09:00-09:29, 09:30-09:59)",8,2,-0.246520147750459
1,"(09:00-09:29, 09:30-09:59)",8,3,-0.21185418286732427
1,"(09:00-09:29, 09:30-09:59)",8,4,-0.17484966524627565
1,"(09:00-09:29, 09:30-09:59)",8,5,-0.09928437736968664
1,"(09:00-09:29, 09:30-09:59)",8,6,-0.011964892977659899
1,"(09:00-09:29, 09:30-09:59)",8,7,0.03318341803397133
1,"(09:00-09:29, 09:30-09:59)",8,8,0.05363319890823992
1,"(09:00-09:29, 09:30-09:59)",8,9,0.05661647288248483
1,"(09:00-09:29, 09:30-09:59)",8,10,0.09904343454547926
1,"(09:00-09:29, 09:30-09:59)",8,11,0.14657071995884022
1,"(09:00-09:29, 09:30-09:59)",8,12,0.22389980607144763
1,"(09:00-09:29, 09:30-09:59)",8,13,0.30239904578450527
1,"(09:00-09:29, 09:30-09:59)",9,0,-0.41917761564622275
1,"(09:00-09:29, 09:30-09:59)",9,1,-0.37179664542765123
1,"(09:00-09:29, 09:30-09:59)",9,2,-0.3171285944612725
1,"(09:00-09:29, 09:30-09:59)",9,3,-0.241706433753225
1,"(09:00-09:29, 09:30-09:59)",9,4,-0.19021496471620164
1,"(09:00-09:29, 09:30-09:59)",9,5,-0.08272656761666847
1,"(09:00-09:29, 09:30-09:59)",9,6,0.014015370289882251
1,"(09:00-09:29, 09:30-09:59)",9,7,0.07479996360756921
1,"(09:00-09:29, 09:30-09:59)",9,8,0.10443025229039622
1,"(09:00-09:29, 09:30-09:59)",9,9,0.11773691558215958
1,"(09:00-09:29, 09:30-09:59)",9,10,0.17365016972269287
1,"(09:00-09:29, 09:30-09:59)",9,11,0.2404173128917838
1,"(09:00-09:29, 09:30-09:59)",9,12,0.33753000633466335
1,"(09:00-09:29, 09:30-09:59)",9,13,0.4370876328278738
1,"(09:00-09:29, 09:30-09:59)",10,0,-0.5208845374974829
1,"(09:00-09:29, 09:30-09:59)",10,1,-0.4731481258902705
1,"(09:00-09:29, 09:30-09:59)",10,2,-0.41773235399322756
1,"(09:00-09:29, 09:30-09:59)",10,3,-0.32576960011385997
1,"(09:00-09:29, 09:30-09:59)",10,4,-0.27035567564209734
1,"(09:00-09:29, 09:30-09:59)",10,5,-0.15945501873149875
1,"(09:00-09:29, 09:30-09:59)",10,6,-0.05311932805158767
1,"(09:00-09:29, 09:30-09:59)",10,7,0.027275195664383925
1,"(09:00-09:29, 09:30-09:59)",10,8,0.06370998344880008
1,"(09:00-09:29, 09:30-09:59)",10,9,0.09069939843512735
1,"(09:00-09:29, 09:30-09:59)",10,10,0.1667658091246097
1,"(09:00-09:29, 09:30-09:59)",10,11,0.2448985111897371
1,"(09:00-09:29, 09:30-09:59)",10,12,0.3705337350501386
1,"(09:00-09:29, 09:30-09:59)",10,13,0.4979747156372642
1,"(09:00-09:29, 09:30-09:59)",11,0,-0.6375405729167587
1,"(09:00-09:29, 09:30-09:59)",11,1,-0.5868713154976468
1,"(09:00-09:29, 09:30-09:59)",11,2,-0.5225438800322432
1,"(09:00-09:29, 09:30-09:59)",11,3,-0.4202072647641403
1,"(09:00-09:29, 09:30-09:59)",11,4,-0.3476957947329973
1,"(09:00-09:29, 09:30-09:59)",11,5,-0.21428227285443838
1,"(09:00-09:29, 09:30-09:59)",11,6,-0.10151875761382406
1,"(09:00-09:29, 09:30-09:59)",11,7,-0.008686993479393782
1,"(09:00-09:29, 09:30-09:59)",11,8,0.04760618340629901
1,"(09:00-09:29, 09:30-09:59)",11,9,0.07341479042570931
1,"(09:00-09:29, 09:30-09:59)",11,10,0.15827471180454178
1,"(09:00-09:29, 09:30-09:59)",11,11,0.24703226195297875
1,"(09:00-09:29, 09:30-09:59)",11,12,0.38643631690836444
1,"(09:00-09:29, 09:30-09:59)",11,13,0.5772265953242338
1,"(09:00-09:29, 09:30-09:59)",12,0,-0.688914262792963
1,"(09:00-09:29, 09:30-09:59)",12,1,-0.6393495741805879
1,"(09:00-09:29, 09:30-09:59)",12,2,-0.5700750885055186
1,"(09:00-09:29, 09:30-09:59)",12,3,-0.46428027521089077
1,"(09:00-09:29, 09:30-09:59)",12,4,-0.38434111570732477
1,"(09:00-09:29, 09:30-09:59)",12,5,-0.24176285874210782
1,"(09:00-09:29, 09:30-09:59)",12,6,-0.12116170666081941
1,"(09:00-09:29, 09:30-09:59)",12,7,-0.009075439366926988
1,"(09:00-09:29, 09:30-09:59)",12,8,0.06307902344910818
1,"(09:00-09:29, 09:30-09:59)",12,9,0.09978637856420992
1,"(09:00-09:29, 09:30-09:59)",12,10,0.19820961697737946
1,"(09:00-09:29, 09:30-09:59)",12,11,0.33498716077704394
1,"(09:00-09:29, 09:30-09:59)",12,12,0.4905690812932642
1,"(09:00-09:29, 09:30-09:59)",12,13,0.7485821408481269
1,"(09:00-09:29, 09:30-09:59)",13,0,-0.6744033333895727
1,"(09:00-09:29, 09:30-09:59)",13,1,-0.6073909314824177
1,"(09:00-09:29, 09:30-09:59)",13,2,-0.528206867448014
1,"(09:00-09:29, 09:30-09:59)",13,3,-0.40585673661904353
1,"(09:00-09:29, 09:30-09:59)",13,4,-0.300147401299411
1,"(09:00-09:29, 09:30-09:59)",13,5,-0.14573436233320153
1,"(09:00-09:29, 09:30-09:59)",13,6,-0.0033342626071203654
1,"(09:00-09:29, 09:30-09:59)",13,7,0.13430598715155156
1,"(09:00-09:29, 09:30-09:59)",13,8,0.21314146752662413
1,"(09:00-09:29, 09:30-09:59)",13,9,0.2513224094219127
1,"(09:00-09:29, 09:30-09:59)",13,10,0.3544821205766232
1,"(09:00-09:29, 09:30-09:59)",13,11,0.49282986129865725
1,"(09:00-09:29, 09:30-09:59)",13,12,0.7319251995000726
1,"(09:00-09:29, 09:30-09:59)",13,13,1.026384178663221
